Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,2012,09,29.5,Y
IDCJAC0002,015590,2012,10,33.4,Y
IDCJAC0002,015590,2012,11,36.7,Y
IDCJAC0002,015590,2012,12,37.5,Y
IDCJAC0002,015590,2013,01,39.9,Y
IDCJAC0002,015590,2013,02,36.3,Y
IDCJAC0002,015590,2013,03,35.1,Y
IDCJAC0002,015590,2013,04,30.5,Y
IDCJAC0002,015590,2013,05,24.8,Y
IDCJAC0002,015590,2013,06,19.3,Y
IDCJAC0002,015590,2013,07,20.9,Y
IDCJAC0002,015590,2013,08,26.6,Y
IDCJAC0002,015590,2013,09,33.3,Y
IDCJAC0002,015590,2013,10,32.6,Y
IDCJAC0002,015590,2013,11,35.3,Y
IDCJAC0002,015590,2013,12,35.6,Y
IDCJAC0002,015590,2014,01,36.0,Y
IDCJAC0002,015590,2014,02,33.7,Y
IDCJAC0002,015590,2014,03,34.6,Y
IDCJAC0002,015590,2014,04,28.3,Y
IDCJAC0002,015590,2014,05,25.5,Y
IDCJAC0002,015590,2014,06,19.8,Y
IDCJAC0002,015590,2014,07,20.7,Y
